"","n","mean","sd","median","trimmed","range","skew","kurtosis","se","IRT_difficulty","Chisq","df","p_value","outfitMSQ","infitMSQ","outfitZ","infitZ"
"SE_51b",40,0.55,0.503831473655779,1,0.5625,1,-0.193517088745061,-2.01096590909091,0.0796627506815691,-0.200670695462151,42.4672637889228,38,0.284518302471225,1.08890419971597,1.03987586825853,0.733339498074978,0.426234603960045
"ST_25b1",40,0.175,0.384807644254793,0,0.09375,1,1.64692674239178,0.732540584415583,0.0608434308444476,1.55059741241117,54.4314536288193,39,0.0513312705041782,1.36078634072048,1.02332223006727,1.13021127429624,0.175791474384085
"ST_25b2",40,0.35,0.483045891539648,0,0.3125,1,0.605532528322916,-1.67330357142857,0.0763762615825973,0.619039208406224,52.6388473714912,39,0.0711173712860372,1.31597118428728,1.09823702903513,1.69127425996366,0.826933499307746
"ST_31b",40,0.25,0.438529009653515,0,0.1875,1,1.11167103947166,-0.781875,0.0693375245281536,1.09861228866811,42.7774492188787,39,0.312200795757175,1.06943623047197,1.10513335933014,0.329990559044939,0.626050294372014
"ST_52a",40,0.4,0.496138938356834,0,0.375,1,0.393035065229554,-1.8909375,0.0784464540552736,0.405465108108164,44.5030385687672,39,0.25120025362755,1.11257596421918,1.10386105040355,1.04602729366495,1.05364055063083
"ST_54b2",38,0.131578947368421,0.342569987450104,0,0.0625,1,2.09432101418459,2.45278687148493,0.0555721902009034,1.88706964903238,31.3057494089769,37,0.732596196912669,0.823835510762551,0.933911988202269,-0.224276939998531,-0.0992589500671634
"ST_54b3",39,0.487179487179487,0.506369683541833,0,0.484848484848485,1,0.0493385845502298,-2.04812623274162,0.08108404256842,0.0512932943875507,38.738102405843,38,0.436216768140694,0.993284677072897,1.00035038505146,-0.0432409642842329,0.0296987669407317
"ST_58",38,0.815789473684211,0.392859452063192,1,0.875,1,-1.56533957761196,0.464572934883898,0.0637302186183436,-1.48807705542983,46.7943905117432,37,0.129815493005772,1.2314313292564,1.02923265446122,0.753905963690564,0.198252198165493
"ST_59",40,0.575,0.500640615253123,1,0.59375,1,-0.292125719616368,-1.96184942455243,0.0791582316693952,-0.302280871872933,36.748561113101,39,0.573016512805546,0.918714027827525,0.933873256931337,-0.78409686034617,-0.744907807302843
"VB_1",40,0.525,0.505736325340815,1,0.53125,1,-0.0963941041157119,-2.03984492481203,0.0799639341780453,-0.100083458556983,34.2228788979824,39,0.687345881964686,0.855571972449561,0.866848487356744,-1.4927744237365,-1.69384859535922
"VB_12d",41,0.658536585365854,0.480091454702173,1,0.696969696969697,1,-0.644334898554988,-1.62263895577399,0.0749776885314117,-0.656779536389071,40.1164241133986,40,0.465093637012707,0.978449368619477,0.971634988016759,-0.0889205375761105,-0.205309561384099
"VB_15a",40,0.575,0.500640615253123,1,0.59375,1,-0.292125719616368,-1.96184942455243,0.0791582316693952,-0.302280871872933,36.3840114635872,39,0.589824096132915,0.909600286589681,0.909343284311705,-0.752955083550115,-0.974374055759822
"VB_15b",39,0.487179487179487,0.506369683541833,0,0.484848484848485,1,0.0493385845502298,-2.04812623274162,0.08108404256842,0.0512932943875507,37.738959909269,38,0.48141689864828,0.967665638699205,0.949525169561223,-0.288878714943739,-0.588281843868337
"VB_15c",40,0.3,0.464095480892257,0,0.25,1,0.840344317187051,-1.32508928571429,0.0733799385705343,0.847297860387204,28.6399207136714,39,0.888645990192412,0.715998017841784,0.778764311091541,-1.71151006150739,-1.57302260671311
"VB_22c",40,0.175,0.384807644254793,0,0.09375,1,1.64692674239178,0.732540584415583,0.0608434308444476,1.55059741241117,38.0386576619879,39,0.513572055304733,0.950966441549699,0.851285692822588,-0.0513413483034557,-0.529799947660465
